categoria,subcategoria,nombre,precio,precio_normal,precio_oferta,precio_referencia,promocion,url,imagen_url
"Lácteos, Huevos y Congelados",Leche,Leche Loncoleche Proteína Full Pro Chocolate 250 ml,1274,1820,1274,$5.824 / lt,Oferta,https://www.jumbo.cl/leche-l-leche-prot-250ml-full-pro-choc-1892381/p,https://jumbocl.vteximg.com.br/arquivos/ids/528074-250-250/Leche-Loncoleche-Proteina-Full-Pro-Chocolate-250-ml.jpg?v=638967405018330000
"Lácteos, Huevos y Congelados",Leche,Pack 6 un. Leche Colun Semidescremada Vainilla 200 cc,3100,3780,3100,$2.583 / lt,Oferta,https://www.jumbo.cl/pack-leche-colun-vainilla-200-cc-6-unid/p,https://jumbocl.vteximg.com.br/arquivos/ids/357513-250-250/Pack-leche-semidescremada-Colun-vainilla-200-cc-6-unid.jpg?v=638776719444600000
"Lácteos, Huevos y Congelados",Leche,Pack 6 un. Leche Colun Sin Lactosa Descremada 200 ml,3720,3720,,$3.100 / lt,,https://www.jumbo.cl/pack-leche-sin-lactosa-descremada-6-un-200-ml-c-u/p,https://jumbocl.vteximg.com.br/arquivos/ids/367314-250-250/Pack-leche-sin-lactosa-descremada-6-un-200-ml-c-u-1-206981704.jpg?v=638776767339730000
"Lácteos, Huevos y Congelados",Leche,Leche Surlat Proteína Descremada Sin Lactosa 1 L,2390,2390,,$2.390 / lt,,https://www.jumbo.cl/leche-descremada-surlat-sl-prot-1lt-1938884/p,https://jumbocl.vteximg.com.br/arquivos/ids/535393-250-250/Leche-Surlat-Proteina-Descremada-Sin-Lactosa-1-L.jpg?v=638979478667170000
"Lácteos, Huevos y Congelados",Leche,Leche Surlat Entera 1 L,1100,1100,,$1.100 / lt,,https://www.jumbo.cl/leche-entera-surlat-b-a-1l-1991554/p,https://jumbocl.vteximg.com.br/arquivos/ids/638741-250-250/Leche-Surlat-Entera-1-L.jpg?v=639142034095700000
"Lácteos, Huevos y Congelados",Leche,Leche Soprole Proteína Chocolate 200 ml,720,720,,$3.600 / lt,,https://www.jumbo.cl/leche-soprole-proteina-chocolate-200-ml/p,https://jumbocl.vteximg.com.br/arquivos/ids/361488-250-250/Leche-proteina-chocolate-200-ml.jpg?v=638776737544800000
"Lácteos, Huevos y Congelados",Leche,Leche Colun Origen Chocolate 200 ml,650,3100,650,$2.585 / lt,Oferta,https://www.jumbo.cl/leche-colun-origen-chocolate-200ml-2040264/p,https://jumbocl.vteximg.com.br/arquivos/ids/490989-250-250/Leche-Colun-Origen-Chocolate-200-ml.jpg?v=638902752686900000
"Lácteos, Huevos y Congelados",Leche,Leche Soprole Proteína Cappuccino 200 ml,720,720,,$3.600 / lt,,https://www.jumbo.cl/leche-cappuc-200ml-2037858/p,https://jumbocl.vteximg.com.br/arquivos/ids/458961-250-250/LECHE-CAPPUC-200ML.jpg?v=638863181662830000
"Lácteos, Huevos y Congelados",Leche,Pack 6 un. Leche Colun Light Chocolate 200 ml,3100,3780,3100,$2.583 / lt,Oferta,https://www.jumbo.cl/leche-colun-light-cj-200-cc-chocolate/p,https://jumbocl.vteximg.com.br/arquivos/ids/361953-250-250/Pack-leche-Colun-light-chocolate-200-ml-6-unid.jpg?v=638776740225200000
"Lácteos, Huevos y Congelados",Leche,Pack 6 un. Leche Soprole Semidescremada Chocolate 200 ml,3600,3600,,$3.000 / lt,,https://www.jumbo.cl/leche-soprole-lv-cj-200cc-chocolate/p,https://jumbocl.vteximg.com.br/arquivos/ids/360034-250-250/Pack-6-un-Leche-semidescremada-chocolate-200-ml.jpg?v=638776730852230000
"Lácteos, Huevos y Congelados",Leche,Leche Soprole Semidescremada Chocolate Requetepatitas 1 L,1550,17400,1550,$1.450 / lt,Oferta,https://www.jumbo.cl/leche-soprole-chocolate-light-1-litro/p,https://jumbocl.vteximg.com.br/arquivos/ids/559616-250-250/Leche-Soprole-Semidescremada-Chocolate-Requetepatitas-1-L.jpg?v=639029239989900000
"Lácteos, Huevos y Congelados",Leche,Leche Colun A2 Entera Sin Lactosa 1 L,2960,2960,,$2.960 / lt,,https://www.jumbo.cl/leche-colun-a2-entera-s-l-1lt-1983420/p,https://jumbocl.vteximg.com.br/arquivos/ids/400493-250-250/LECHE-COLUN-A2-ENTERA-S-L-1LT.jpg?v=638776901461200000
"Lácteos, Huevos y Congelados",Leche,Pack 6 un. Leche Soprole Sin Lactosa Chocolate 200 ml,3480,3480,,$2.900 / lt,,https://www.jumbo.cl/pack-leche-sin-lactosa-zerolacto-chocolate-200-ml-6-unid/p,https://jumbocl.vteximg.com.br/arquivos/ids/459837-250-250/Pack-6-un-Leche-Soprole-Sin-Lactosa-Chocolate-200-ml.jpg?v=638864715808900000
"Lácteos, Huevos y Congelados",Leche,Leche Surlat Entera Sin Lactosa 1 L,1390,1390,,$1.390 / lt,,https://www.jumbo.cl/leche-s-l-entera-surlat-1l-1882658/p,https://jumbocl.vteximg.com.br/arquivos/ids/624877-250-250/Leche-Surlat-Entera-Sin-Lactosa-1-L.jpg?v=639123192873300000
