categoria,subcategoria,nombre,marca,tipo,formato,precio,precio_normal,precio_oferta,precio_referencia,promocion,supermercado,url,imagen_url,producto_base
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Cappuccino 330 ml Colun,Colun,sin lactosa,330 mL,950,950,,,,Líder,https://super.lider.cl/ip/leches-colacion/leche-sin-lactosa-cappuccino/00780292000814?channable=06660b6964003030373830323932303030383134fc,https://i5.walmartimages.cl/asr/5ed404ef-6732-4a71-9e8d-d455d69900bb.5888e5e48afec3a8ed934bdefd040004.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Protein Milk Sin Lactosa Cappuccino 200 ml Loncoleche,Loncoleche,sin lactosa,200 mL,550,550,,,,Líder,https://super.lider.cl/ip/leche/leche-protein-milk-sin-lactosa-cappuccino/00780291000805?channable=06660b696400303037383032393130303038303551,https://i5.walmartimages.cl/asr/0ae9aac4-6833-46a2-84cb-405354881688.812d6afc789cd8e8ce4942bedbe301ac.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Proteína Capuccino 200 ml Soprole,Soprole,proteína,200 mL,610,610,,,,Líder,https://super.lider.cl/ip/leches-colacion/leche-proteina-capuccino/00780290000461?channable=06660b696400303037383032393030303034363153,https://i5.walmartimages.cl/asr/58e73c51-81b7-4f9a-a272-dd9a4b1f3ded.87e7835a4f255edd082965f901c51865.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Proteína Sabor Vainilla 200 ml Soprole,Soprole,proteína,200 mL,610,610,,,,Líder,https://super.lider.cl/ip/leches-colacion/leche-proteina-sabor-vainilla/00780290000380?channable=06660b696400303037383032393030303033383012,https://i5.walmartimages.cl/asr/fdf15b64-485f-4b84-ab8f-379cbb60675a.262705e57b84f80b5045b3932cb7a44f.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Light Chocolate 330 ml Colun,Colun,sin lactosa,330 mL,950,950,,,,Líder,https://super.lider.cl/ip/leches-colacion/leche-sin-lactosa-light-chocolate/00780292000950?channable=06660b6964003030373830323932303030393530ba,https://i5.walmartimages.cl/asr/8ab5a9d7-b052-45d5-8222-4245559765c9.c4daf60a7836faeddf48af77c68e5fa0.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Zero % Descremada Sin Lactosa 1 L Lider,Lider,sin lactosa,1 L,1190,1190,,,,Líder,https://super.lider.cl/ip/sin-lactosa/leche-zero-descremada-sin-lactosa/00780870950291?channable=06660b6964003030373830383730393530323931b6,https://i5.walmartimages.cl/asr/e7f53a39-ac61-4601-93f7-897f96803745.adcfbfb73f9eaacfee864562600e6f66.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Protein Sabor Berries Botella 900 g Lonco Leche,Lonco Leche,general,900 g,3250,3250,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-protein-sabor-berries-botella/00780291000819?channable=06660b6964003030373830323931303030383139d5,https://i5.walmartimages.cl/asr/c54f7cde-13f1-4a3f-a878-4e17601ea7c1.83095a1a2338455c4b5714debf411a2d.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Natural Descremada Lonco Leche 1 L Loncoleche,Loncoleche,descremada,1 L,1190,1190,,,,Líder,https://super.lider.cl/ip/leche/leche-natural-descremada-lonco-leche/00780291000727?channable=06660b696400303037383032393130303037323713,https://i5.walmartimages.cl/asr/80cf9f7f-9e64-44f9-97d6-809c5f2d0869.85240952e82cfb52c1b30dfa88c906c1.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Soprole Sin Lactosa Frutilla,Soprole,sin lactosa,,2050,2050,,,,Líder,https://super.lider.cl/ip/leche/leche-soprole-sin-lactosa-frutilla/00780290000442?channable=06660b696400303037383032393030303034343253,https://i5.walmartimages.cl/asr/638081a4-5f20-46a8-95b6-2e9d8688ce66.886f34a8288180528be80395495ef62e.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Sucedáneo Leche Condensada Tarro 397 G 397 g Leche Sur,Sin marca,general,397 G,1750,1750,,,,Líder,https://super.lider.cl/ip/reposteria/sucedaneo-leche-condensada-tarro-397-g/00844529079473?channable=06660b6964003030383434353239303739343733e9,https://i5.walmartimages.cl/asr/0efa78ed-c9f0-4305-a292-c8b0710e50c2.de975926056bc83418102ce5b5c2f386.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Frutilla Caja 1 L Loncoleche,Loncoleche,sin lactosa,1 L,2190,2190,,,,Líder,https://super.lider.cl/ip/leche/leche-sin-lactosa-frutilla-caja/00780291000098?channable=06660b6964003030373830323931303030303938d6,https://i5.walmartimages.cl/asr/a93c03fc-47ab-4574-8067-7383e70b6936.c87cb09618e12a95837ad8fc4a0c53bd.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Sin Lactosa 1 L Loncoleche,Loncoleche,sin lactosa,1 L,1390,1390,,,,Líder,https://super.lider.cl/ip/leche/leche-semidescremada-sin-lactosa/00780291000022?channable=06660b69640030303738303239313030303032324d,https://i5.walmartimages.cl/asr/31fc2dc6-7ec5-47a2-a90c-a1edde738b0f.9ad6232838dc31be57c5add7955ed10a.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Sin Lactosa Caja 1 L Colun,Colun,sin lactosa,1 L,1390,1390,,,,Líder,https://super.lider.cl/ip/leche/leche-descremada-sin-lactosa-caja/00780292000740?channable=06660b6964003030373830323932303030373430b9,https://i5.walmartimages.cl/asr/47f4cfb9-8347-4ca0-920c-e424b0b33daa.4fa99225a9a0b2a67c9e4f465f8fc081.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Sin Lactosa 200 ml Colun,Colun,sin lactosa,200 mL,670,670,,,,Líder,https://super.lider.cl/ip/leche/leche-descremada-sin-lactosa/00780292000963?channable=06660b69640030303738303239323030303936333e,https://i5.walmartimages.cl/asr/6e618a43-72c6-4855-bb6b-8056e16575a4.2e8ba1de986f4d6d2810aea7f02ea443.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Sabor Chocolate Caja 1 L Colun,Colun,sin lactosa,1 L,2150,2150,,,,Líder,https://super.lider.cl/ip/leche/leche-sin-lactosa-sabor-chocolate-caja/00780292000751?channable=06660b69640030303738303239323030303735313b,https://i5.walmartimages.cl/asr/93362836-6c76-460b-8b8f-ae4e2c74033d.5018bc2936c6a41bebc980726b8062b2.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Frutilla 510 ml Soprole,Soprole,general,510 mL,1490,1490,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-frutilla/00780290000484?channable=06660b696400303037383032393030303034383457,https://i5.walmartimages.cl/asr/98bad066-50dd-47f6-b428-c111c57b252a.9955f1e8b9e4adaae6901f08af624043.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Tradicional 510 ml Soprole,Soprole,general,510 mL,1490,1490,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-tradicional/00780290000485?channable=06660b696400303037383032393030303034383558,https://i5.walmartimages.cl/asr/ce887096-8893-409e-b5d8-b64c737d327e.f9728a2d9365437f9943657053aef21f.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sin Lactosa Chirimoya 1 L Soprole,Soprole,sin lactosa,1 L,2690,2690,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-sin-lactosa-chirimoya/00780290000057?channable=06660b6964003030373830323930303030303537d7,https://i5.walmartimages.cl/asr/91d7be6b-c0dc-4b66-a7c6-729f1c0dca91.38a1b043dc7edcfde95902c532d53c05.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Zero Lacto Chocolate 1 L Soprole,Soprole,zero,1 L,2050,2050,,,,Líder,https://super.lider.cl/ip/leche/leche-zero-lacto-chocolate/00780290019507?channable=06660b696400303037383032393030313935303707,https://i5.walmartimages.cl/asr/3f260e70-167d-498b-99db-9ecd09eae3bb.1da7f97de3456d7ce2f898be2c2775c3.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Blanca Semidescremada Sin Lactosa 1 L Surlat,Surlat,sin lactosa,1 L,1350,1350,,,,Líder,https://super.lider.cl/ip/leche/leche-blanca-semidescremada-sin-lactosa/00780870950079?channable=06660b69640030303738303837303935303037393d,https://i5.walmartimages.cl/asr/b2b33eba-75b3-441b-919a-0163c7e296ba.6db3a38bd46151cdbf4d328a52aabdf7.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Break Caramelo 250 ml Loncoleche,Loncoleche,general,250 mL,650,650,,,,Líder,https://super.lider.cl/ip/leche/leche-break-caramelo/00780291000808?channable=06660b696400303037383032393130303038303854,https://i5.walmartimages.cl/asr/1db886c7-d3f6-48eb-8b9f-415892d8c47e.26b8bab89936fdd7cc446b5b69d67e63.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sabor Vainilla Botella 1 L Soprole,Soprole,general,1 L,2490,2490,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-sabor-vainilla-botella/00780290017005?channable=06660b696400303037383032393030313730303584,https://i5.walmartimages.cl/asr/23c14f1e-0823-4fa9-9c61-7bd3316fdc1d.d8da738fc0386d1181b546017df4023f.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Protein Sabor Chirimoya 900 ml Loncoleche,Loncoleche,general,900 mL,3190,3190,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-protein-sabor-chirimoya/00780291000860?channable=06660b69640030303738303239313030303836304f,https://i5.walmartimages.cl/asr/631b9572-de31-4568-ad35-7a2df154d5b4.999c98d3f386a14fe365d864e6e1b7e1.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Light Sabor Frambuesa Botella 1 L Colun,Colun,light,1 L,2190,2190,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-light-sabor-frambuesa-botella/00780292000332?channable=06660b69640030303738303239323030303333323a,https://i5.walmartimages.cl/asr/62819a42-ebc1-42f4-81a1-d82669c96fa1.70a689773273a00da4d34d23fa4efa1a.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Next Sabor Chirimoya Botella 1 L Soprole,Soprole,general,1 L,2490,2490,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-next-sabor-chirimoya-botella/00780290034530?channable=06660b696400303037383032393030333435333001,https://i5.walmartimages.cl/asr/bf9226c8-ed31-40a9-bd1f-6c1f88245914.d2aed8f9e777f9fe66efc970f00e00cc.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Light Sabor Frutilla Botella 900 g Loncoleche,Loncoleche,light,900 g,2590,2590,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-light-sabor-frutilla-botella/00780291000094?channable=06660b6964003030373830323931303030303934d2,https://i5.walmartimages.cl/asr/38d2d3d9-f6ef-4ba1-8bf0-b1f852d6c94e.0456096dfcc590be53749d2911b643f5.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sin Azúcar Sabor Chirimoya Botella 900 g Loncoleche,Loncoleche,general,900 g,2550,2550,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-sin-azucar-sabor-chirimoya-botella/00780291000096?channable=06660b6964003030373830323931303030303936d4,https://i5.walmartimages.cl/asr/c2068f2f-cdbf-4b82-8123-6530b5f5f127.a81ec35a334a3e0f2cdbb8880da2d3d1.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Light Sabor Frutilla Botella 180 g Colun,Colun,light,180 g,680,680,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-light-sabor-frutilla-botella/00780292000516?channable=06660b6964003030373830323932303030353136bd,https://i5.walmartimages.cl/asr/b25de232-8203-4b01-acaf-04faae2ec014.0676a125b98519766f211a2afed41e0a.jpeg?null,
