categoria,subcategoria,nombre,precio,precio_normal,precio_oferta,precio_referencia,promocion,url,imagen_url
"Lácteos, Huevos y Congelados",Leche,Leche entera loncoleche sin tapa 1 l,1000,1050,1000,$1.000 / l,Oferta,https://www.unimarc.cl/product/leche-entera-s-t-loncoleche-1-lt,https://unimarc.vtexassets.com/arquivos/ids/252240/000000000000640959-UN-01.jpg?v=638966678965770000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada loncoleche sin tapa 1 l,1000,1050,1000,$1.000 / l,Oferta,https://www.unimarc.cl/product/leche-semi-desc-s-t-loncoleche-1-lt,https://unimarc.vtexassets.com/arquivos/ids/250850/000000000000640960-UN-01.jpg?v=638966667641470000
"Lácteos, Huevos y Congelados",Leche,Leche descremada loncoleche sin tapa 1 l,1000,1050,1000,$1.000 / l,Oferta,https://www.unimarc.cl/product/leche-descremada-s-t-loncoleche-1-lt,https://unimarc.vtexassets.com/arquivos/ids/250851/000000000000640961-UN-01.jpg?v=638966667652700000
"Lácteos, Huevos y Congelados",Leche,Pack leche entera loncoleche 12 un 1 l,12000,13080,12000,$1.000 / l,Oferta,https://www.unimarc.cl/product/leche-entera-s-t-loncoleche-1-lt-2,https://unimarc.vtexassets.com/arquivos/ids/252239/000000000000640959-CJ-01.jpg?v=638966678329870000
"Lácteos, Huevos y Congelados",Leche,Pack leche semidescremada loncoleche 12 un 1 l,12000,13080,12000,$1.000 / l,Oferta,https://www.unimarc.cl/product/leche-semi-desc-s-t-loncoleche-1-lt-2,https://unimarc.vtexassets.com/arquivos/ids/233706/000000000000640960-CJ-01.jpg?v=638966667635530000
"Lácteos, Huevos y Congelados",Leche,Pack leche descremada loncoleche 12 un 1 l,12000,13080,12000,$1.000 / l,Oferta,https://www.unimarc.cl/product/leche-descremada-s-t-loncoleche-1-lt-2,https://unimarc.vtexassets.com/arquivos/ids/233707/000000000000640961-CJ-01.jpg?v=638966667647400000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo nido entera tarro 1.350 g,14490,17590,14490,$10.733 / kg,Oferta,https://www.unimarc.cl/product/leche-inst-en-polvo-26-mg-nido-1-350kg,https://unimarc.vtexassets.com/arquivos/ids/233877/000000000000662285-UN-01.jpg?v=638345260295200000
"Lácteos, Huevos y Congelados",Leche,Leche entera natural colun sin tapa 1 l,1250,1350,1250,$1.250 / l,Oferta,https://www.unimarc.cl/product/leche-entera-natural-colun-sin-tapa-1-l-2,https://unimarc.vtexassets.com/arquivos/ids/200220/000000000000007390-UN-01.jpg?v=638338607201470000
"Lácteos, Huevos y Congelados",Leche,Leche entera los peumos 1 l,1190,1190,,$1.190 / L,,https://www.unimarc.cl/product/leche-entera-tetra-los-peumos-1lt,https://unimarc.vtexassets.com/arquivos/ids/251383/000000000000661119-UN-01.jpg?v=638931235513300000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada colun sabor chocolate 200 ml,590,3000,590,$2.500 / l,Oferta,https://www.unimarc.cl/product/leche-chocolate-semidescremada-colun-200-ml,https://unimarc.vtexassets.com/arquivos/ids/200261/000000000402629004-UN-01.jpg?v=638338607303570000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo colun entera instantáneo doypack 900 g,7390,8250,7390,$8.211 / kg,Oferta,https://www.unimarc.cl/product/leche-polvo-inst-entera-colun-900-gr,https://unimarc.vtexassets.com/arquivos/ids/206536/000000000000646834-UN-01.jpg?v=637465786818800000
"Lácteos, Huevos y Congelados",Leche,Bebida láctea nido buen día semidescremada bolsa 700 g,5850,6750,5850,$8.357 / kg,Oferta,https://www.unimarc.cl/product/leche-buen-dia-lsp-softpack-nido-700-gr,https://unimarc.vtexassets.com/arquivos/ids/227846/000000000000657049-UN-01.jpg?v=637925398644930000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada sin lactosa colun 1 l,1390,1390,,$1.390 / L,,https://www.unimarc.cl/product/leche-semidescremada-sin-lactosa-colun-1-lt,https://unimarc.vtexassets.com/arquivos/ids/200258/000000000000621035-UN-01.jpg?v=638338607246230000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada sin lactosa loncoleche con tapa 1 l,1280,1290,1280,$1.280 / l,Oferta,https://www.unimarc.cl/product/leche-semidescremada-sin-lactosa-loncoleche-1-l,https://unimarc.vtexassets.com/arquivos/ids/250846/000000000000007413-UN-01.jpg?v=638912177552630000
"Lácteos, Huevos y Congelados",Leche,Leche entera natural con tapa soprole 1 l,1290,1290,,$1.290 / L,,https://www.unimarc.cl/product/leche-entera-natural-soprole-con-tapa-1-l-2,https://unimarc.vtexassets.com/arquivos/ids/252404/000000000000516748-UN-01.jpg?v=638972809538400000
"Lácteos, Huevos y Congelados",Leche,Leche descremada sin lactosa colun 1 l,1390,1390,,$1.390 / L,,https://www.unimarc.cl/product/leche-descremada-sin-lactosa-colun-1-lt-2,https://unimarc.vtexassets.com/arquivos/ids/200257/000000000000621034-UN-01.jpg?v=638338607237430000
"Lácteos, Huevos y Congelados",Leche,Leche descremada sin lactosa loncoleche con tapa 1 l,1280,1290,1280,$1.280 / l,Oferta,https://www.unimarc.cl/product/leche-descremada-sin-lactosa-loncoleche-con-tapa-1,https://unimarc.vtexassets.com/arquivos/ids/250848/000000000000176636-UN-01.jpg?v=638912179304030000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada colun sin tapa 1 l,1250,1350,1250,$1.250 / l,Oferta,https://www.unimarc.cl/product/leche-semidescremada-colun-sin-tapa-1-l-2,https://unimarc.vtexassets.com/arquivos/ids/200219/000000000000007408-UN-01.jpg?v=637327700395230000
"Lácteos, Huevos y Congelados",Leche,Leche sin lactosa descremada soprole 1 l,1225,1390,1225,$1.225 / l,Oferta,https://www.unimarc.cl/product/leche-descremada-zero-lacto-soprole-con-tapa-1-l,https://unimarc.vtexassets.com/arquivos/ids/252401/000000000000177770-UN-01.jpg?v=638972808860870000
"Lácteos, Huevos y Congelados",Leche,Leche los peumos semidescremada 1 l,1190,1190,,$1.190 / L,,https://www.unimarc.cl/product/leche-semidescremada-tetra-los-peumos-1l,https://unimarc.vtexassets.com/arquivos/ids/251382/000000000000661118-UN-01.jpg?v=638931235318130000
"Lácteos, Huevos y Congelados",Leche,Fórmula láctea nido etapa 1 bolsa 700 g,8950,8950,,$12.786 / kg,,https://www.unimarc.cl/product/leche-en-pvo-etapa-1-optimus-nido-700gr,https://unimarc.vtexassets.com/arquivos/ids/234194/000000000000665273-UN-01.jpg?v=638234791480430000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada colun sabor chocolate 1 l,1850,1850,,$1.850 / L,,https://www.unimarc.cl/product/leche-chocolate-semidescremada-colun-1-l,https://unimarc.vtexassets.com/arquivos/ids/200252/000000000000046528-UN-01.jpg?v=638338607219830000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada colun sabor frutilla 200 ml,590,3000,590,$2.500 / l,Oferta,https://www.unimarc.cl/product/leche-frutilla-semidescremada-colun-200-ml,https://unimarc.vtexassets.com/arquivos/ids/200260/000000000402629003-UN-01.jpg?v=638338607295770000
"Lácteos, Huevos y Congelados",Leche,Leche entera sin lactosa colun con tapa 1 l,1390,1390,,$1.390 / L,,https://www.unimarc.cl/product/leche-entera-s-lactosa-colun-1-lt-2,https://unimarc.vtexassets.com/arquivos/ids/200256/000000000000621033-UN-01.jpg?v=637327994130570000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo svelty descremada bolsa 800 g,7390,11790,7390,$7.369 / kg,Oferta,https://www.unimarc.cl/product/leche-svelty-descremada-soft-pack-800-g,https://unimarc.vtexassets.com/arquivos/ids/235007/000000000000284090-UN-01.jpg?v=638264313176830000
"Lácteos, Huevos y Congelados",Leche,Leche entera sin lactosa loncoleche con tapa 1 l,1280,1290,1280,$1.280 / l,Oferta,https://www.unimarc.cl/product/leche-entera-sin-lactosa-loncoleche-con-tapa-1-l,https://unimarc.vtexassets.com/arquivos/ids/250847/000000000000158375-UN-01.jpg?v=638912178678270000
"Lácteos, Huevos y Congelados",Leche,Yoghurt loncoleche protein natural endulzado 140 g,750,750,,$5.357 / kg,,https://www.unimarc.cl/product/yog-protein-lonco-140-natural-endulzado,https://unimarc.vtexassets.com/arquivos/ids/237993/000000000638426001-UN-01.jpg?v=638452446968330000
"Lácteos, Huevos y Congelados",Leche,Fórmula láctea nido etapa 1 tarro 1.350 kg,17090,19790,17090,$12.659 / kg,Oferta,https://www.unimarc.cl/product/leche-en-polvo-nido-1-nutritods-1-350kg,https://unimarc.vtexassets.com/arquivos/ids/230617/000000000000662286-UN-01.jpg?v=638042029781270000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada colun sabor vainilla 200 ml,590,3000,590,$2.500 / l,Oferta,https://www.unimarc.cl/product/leche-vainilla-semidescremada-colun-200-ml,https://unimarc.vtexassets.com/arquivos/ids/200259/000000000402629001-UN-01.jpg?v=638338607287300000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada soprole chocolate 200 ml,600,3000,600,$2.500 / l,Oferta,https://www.unimarc.cl/product/leche-chocolate-semidescremada-soprole-200-ml,https://unimarc.vtexassets.com/arquivos/ids/254533/000000000402613002-UN-01.jpg?v=639026171259200000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo svelty descremada sin lactosa bolsa 800 g,12690,19290,12690,$12.056 / kg,Oferta,https://www.unimarc.cl/product/leche-svelty-descremada-sin-lactosa-bolsa-800-g,https://unimarc.vtexassets.com/arquivos/ids/235008/000000000000766964-UN-01.jpg?v=638264313956670000
"Lácteos, Huevos y Congelados",Leche,Leche surlat whey proteína descremada chocolate 200 ml,890,4200,890,$3.500 / l,Oferta,https://www.unimarc.cl/product/leche-whey-prot-chocolate-surlat-200ml,https://unimarc.vtexassets.com/arquivos/ids/254348/000000000000693762-UN-01.jpg?v=639016580524570000
"Lácteos, Huevos y Congelados",Leche,Bebida vegetal loncoleche almendra 1 l,2250,2890,2250,$2.250 / l,Oferta,https://www.unimarc.cl/product/bebida-veg-almendra-loncoleche-1l-2,https://unimarc.vtexassets.com/arquivos/ids/250189/000000000000678401-UN-01.jpg?v=638888122893200000
"Lácteos, Huevos y Congelados",Leche,Leche soprole semidescremada con avena 200 ml,570,3000,570,$2.500 / l,Oferta,https://www.unimarc.cl/product/leche-con-avena-soprole-200-cc-2,https://unimarc.vtexassets.com/arquivos/ids/239673/000000000000668638-UN-01.jpg?v=638514702341900000
"Lácteos, Huevos y Congelados",Leche,Leche descremada los peumos 1 l,1190,1190,,$1.190 / L,,https://www.unimarc.cl/product/leche-descremada-tetra-los-peumos-1lt-2,https://unimarc.vtexassets.com/arquivos/ids/251384/000000000000661120-UN-01.jpg?v=638931235706730000
"Lácteos, Huevos y Congelados",Leche,Leche descremada colun 1 l,1250,1350,1250,$1.250 / l,Oferta,https://www.unimarc.cl/product/leche-descremada-colun-sin-tapa-1-l-2,https://unimarc.vtexassets.com/arquivos/ids/200221/000000000000007407-UN-01.jpg?v=638338607211000000
"Lácteos, Huevos y Congelados",Leche,Leche cultivada soprole sabor frutilla cajita 170 ml,600,1590,600,$3.118 / l,Oferta,https://www.unimarc.cl/product/leche-cultivada-soprole-170-ml-frutilla-2,https://unimarc.vtexassets.com/arquivos/ids/254390/000000000694725001-UN-01.jpg?v=639016580866530000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada loncoleche chocolate 115 ml,460,2000,460,$2.896 / l,Oferta,https://www.unimarc.cl/product/leche-semdes-loncoleche-115ml-chocolate-2,https://unimarc.vtexassets.com/arquivos/ids/249920/000000000678765001-UN-01.jpg?v=638866378626200000
"Lácteos, Huevos y Congelados",Leche,Leche cultivada soprole sabor chirimoya cajita 170 ml,600,1590,600,$3.118 / l,Oferta,https://www.unimarc.cl/product/leche-cultivada-soprole-170-m-chirimoya-2,https://unimarc.vtexassets.com/arquivos/ids/254392/000000000694725002-UN-01.jpg?v=639016580876070000
"Lácteos, Huevos y Congelados",Leche,Leche sin lactosa semidescremada soprole 1 l,1225,1390,1225,$1.225 / l,Oferta,https://www.unimarc.cl/product/leche-semidescremada-zero-lacto-soprole-con-tapa-1-l,https://unimarc.vtexassets.com/arquivos/ids/252402/000000000000177772-UN-01.jpg?v=638972809087600000
"Lácteos, Huevos y Congelados",Leche,Leche surlat whey proteína descremada caramelo 200 ml,890,4200,890,$3.500 / l,Oferta,https://www.unimarc.cl/product/leche-descre-whey-protein-carame-200ml,https://unimarc.vtexassets.com/arquivos/ids/254328/000000000000692747-UN-01.jpg?v=639016580203130000
"Lácteos, Huevos y Congelados",Leche,Leche soprole semidescremada con avena y chocolate 200 ml,560,3000,560,$2.500 / l,Oferta,https://www.unimarc.cl/product/leche-cn-avena-y-chocolate-soprole-200ml,https://unimarc.vtexassets.com/arquivos/ids/247290/000000000000674962-UN-01.jpg.jpg?v=638768069001600000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo nido etapa 3 tarro 1.350 kg,16050,18650,16050,$11.889 / kg,Oferta,https://www.unimarc.cl/product/leche-en-polvo-nido-3-nutritods-1-350kg,https://unimarc.vtexassets.com/arquivos/ids/230618/000000000000662287-UN-01.jpg?v=638042030368630000
"Lácteos, Huevos y Congelados",Leche,Crema de leche loncoleche sin lactosa 3 un de 200 ml,3990,3990,,$6.650 / L,,https://www.unimarc.cl/product/crema-sin-lactosa-loncoleche-tetra-200-cc-3-un,https://unimarc.vtexassets.com/arquivos/ids/237767/000000000000578191-DIS-01.jpg?v=638439577111730000
