tipo_hallazgo,producto_id,producto_nombre,categoria_actual,subcategoria_actual,categoria_sugerida,confianza_correccion,motivo
alimento_en_limpieza,389,Fideo Pasta Al Huevo Nidos De Fetuccini Bolsa 400 g Talliani,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
bebida_en_mascotas,1988,Alimento Húmedo Gato Adulto Sabor Pechuga De Pollo Con Salmón Al Jugo Pouch 85 g Animal Planet,Mascotas,Alimento Gatos,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
bebida_en_mascotas,1990,Alimento Húmedo Perro Adulto Y Cachorro Sabor Pechuga De Pollo Con Salmón Al Jugo Pouch 100 g Animal Planet,Mascotas,Alimento Perros,Mascotas,Alta,Falso positivo de auditoria: alimento humedo/trocitos jugosos para perro/gato; no corresponde mover a Bebidas.
alimento_en_limpieza,3478,Fideo Pasta Espirales Bolsa 400 g Lider,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3489,Pasta Fideos Instantáneos Sabor Pollo 69 g Nissin,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3492,Pasta Fideos Instantáneos Ramen Sabor Pollo Bolsa 85 g Nissin,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3504,Fideo Pasta Caracoquesos 4 Quesos Caja 296 g Carozzi,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3505,Fideo Pasta Espiral N°49 1 kg Carozzi,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3509,Fideo Pasta Spaghettini N°3 Bolsa 500 g Barilla,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3510,Fideo Pasta Spaghetti N°5 Bolsa 500 g Barilla,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3511,Fideo Pasta Bavette N°13 Caja 500 g Barilla,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3512,Fideo Pasta Fusilli N°98 Caja 500 g Barilla,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3513,Fideo Pasta Spaghetti N°7 Bolsa 500 g Barilla,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3515,Fideo Pasta Penne Rigate N°73 Caja 500 g Barilla,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3517,Fideo Pasta Macaroni & Cheese Caja 296 g Lucchetti,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
alimento_en_limpieza,3528,Fideo Pasta Macaroni & Cheese Original Caja 225 g Great Value,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
mascota_en_higiene,3718,Shampoo Herbal Essences Sin Sal Nutre E Hidrata Pequi & Aguacate,Higiene Personal,Shampoo,Higiene Personal,Alta,Falso positivo de auditoria por substring como cat en aguacate o food en Hair Food; producto humano.
alimento_en_limpieza,3786,Pasta Para Uno Caracoquesos Cup 70 g Carozzi,Limpieza,Blanqueadores,Despensa,Alta,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos."
mascota_en_higiene,5455,Shampoo Garnier Fructis Hair Food Aguacate,Higiene Personal,Shampoo,Higiene Personal,Alta,Falso positivo de auditoria por substring como cat en aguacate o food en Hair Food; producto humano.
mascota_en_higiene,5624,Shampoo Para Perro Antiparasitario Botella 300 ml Sinpul,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,5638,Shampoo Para Perro Balsamico Uso Frecuente Botella 390 ml Canish,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,5640,Shampoo Para Perro Balsámico Aroma Vainilla Botella 1000 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,5643,Shampoo Para Perro Repelente Pulgas Aroma Eucalipto Botella 1000 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
mascota_en_higiene,5644,Shampoo Para Perro Espuma Seca Aroma Granada Lata 230 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alta,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana."
