categoria,subcategoria,productos,equivalencias,conflictos,porcentaje_equivalencia,porcentaje_conflicto
Bebe,Alimentos Bebe,1014,173,152,17.06,14.99
Bebe,Panales,457,211,168,46.17,36.76
Bebidas,Aguas,131,77,64,58.78,48.85
Bebidas,Bebidas,984,401,303,40.75,30.79
Bebidas,Bebidas Energeticas,1,0,0,0.0,0.0
Bebidas,Cervezas,901,273,217,30.3,24.08
Bebidas,Jugos,687,206,198,29.99,28.82
Bebidas,Vinos,1570,274,128,17.45,8.15
Carnes y Pescados,Aves,181,39,38,21.55,20.99
Carnes y Pescados,Carnes,1538,244,193,15.86,12.55
Carnes y Pescados,Cecinas,36,2,0,5.56,0.0
Carnes y Pescados,Mariscos,111,20,19,18.02,17.12
Carnes y Pescados,Pescados,194,26,24,13.4,12.37
Congelados,Congelados,1960,189,110,9.64,5.61
Desayuno y Snacks,Cereales,463,87,83,18.79,17.93
Desayuno y Snacks,Chocolates,137,16,16,11.68,11.68
Desayuno y Snacks,Galletas,3227,434,403,13.45,12.49
Desayuno y Snacks,Mermeladas,484,102,90,21.07,18.6
Desayuno y Snacks,Snacks,491,79,56,16.09,11.41
Despensa,Aceite,361,113,96,31.3,26.59
Despensa,Aceites,60,8,7,13.33,11.67
Despensa,Arroz,93,13,2,13.98,2.15
Despensa,Arroz y Legumbres,98,18,12,18.37,12.24
Despensa,Azucar,222,49,35,22.07,15.77
Despensa,Cafe,698,89,73,12.75,10.46
Despensa,Condimentos,796,149,131,18.72,16.46
Despensa,Conservas,355,40,33,11.27,9.3
Despensa,Fideos,511,71,40,13.89,7.83
Despensa,Legumbres,197,26,19,13.2,9.64
Despensa,Salsas,647,90,68,13.91,10.51
Frutas y Verduras,Frutas,491,47,29,9.57,5.91
Frutas y Verduras,Verduras,507,36,28,7.1,5.52
Higiene Personal,Acondicionador,526,108,88,20.53,16.73
Higiene Personal,Cuidado Bucal,239,79,66,33.05,27.62
Higiene Personal,Cuidado Facial,17,3,3,17.65,17.65
Higiene Personal,Desodorantes,682,139,80,20.38,11.73
Higiene Personal,Jabon,396,86,71,21.72,17.93
Higiene Personal,Shampoo,940,259,228,27.55,24.26
"Lacteos, Huevos y Congelados",Crema,2276,315,231,13.84,10.15
"Lacteos, Huevos y Congelados",Huevos,953,209,141,21.93,14.8
"Lacteos, Huevos y Congelados",Leche,646,192,112,29.72,17.34
"Lacteos, Huevos y Congelados",Mantequilla,154,16,5,10.39,3.25
"Lacteos, Huevos y Congelados",Quesos,1007,290,211,28.8,20.95
"Lacteos, Huevos y Congelados",Yogurt,622,56,50,9.0,8.04
Limpieza,Blanqueadores,31,9,2,29.03,6.45
Limpieza,Detergentes,537,246,156,45.81,29.05
Limpieza,Lavavajillas,77,37,14,48.05,18.18
Limpieza,Limpiadores,635,153,93,24.09,14.65
Limpieza,Papel higienico,148,90,75,60.81,50.68
Limpieza,Suavizantes,167,72,46,43.11,27.54
"Lácteos, Huevos y Congelados",Leche,184,83,37,45.11,20.11
Mascotas,Alimento Gatos,266,188,32,70.68,12.03
Mascotas,Alimento Perros,210,112,45,53.33,21.43
Panaderia,Pan,808,107,84,13.24,10.4
