producto_id,producto_original,producto_base_anterior,producto_base_nuevo,categoria,score_matching
26096,Pasta Dental Sensodyne Sensibilidad y Encías Blanqueadora 2 un. 100 g,pasta_dental_sensodyne_sensibilidad_encias_blanqueadora,limpieza_100g_2_un,Limpieza,81.0
26100,Pasta Dental Sensodyne Repara & Protege Blanqueadora 2 un. 100 g,pasta_dental_sensodyne_repara_protege_blanqueadora,limpieza_100g_2_un,Limpieza,81.0
25565,Pack 3 un. Pastilla para Estanque Lysoform 120 g,pack_3_un__pastilla_para_estanque,limpieza_120g_3_un,Limpieza,73.0
25586,Pack 3 un. Bloque para Estanque Pato Purific Marina 120 g,pack_3_un__bloque_para_estanque,limpieza_120g_3_un,Limpieza,73.0
26065,Intensificador de Olor Downy Beads Fresh 122 g,intensificador_olor_downy_beads_fresh_sin,limpieza_122_g,Limpieza,76.0
26075,Intensificador de Olor Downy Beads Febreeze 122 g,intensificador_olor_downy_beads_febreeze_sin,limpieza_122_g,Limpieza,76.0
26005,Perlas de Perfume Downy April Fresh 141 g,perlas_perfume_downy_april_fresh_sin,limpieza_141_g,Limpieza,76.1
26019,Perlas de Perfume Downy Unstopables Fresh 141 g,perlas_perfume_downy_unstopables_fresh_sin,limpieza_141_g,Limpieza,76.1
31056,Perlas de perfume downy april fresh 141 g,perlas_perfume_downy_april_fresh_sin,limpieza_141_g,Limpieza,76.1
31058,Perlas de perfume downy fresh 141 g,perlas_perfume_downy_fresh_sin_marca,limpieza_141_g,Limpieza,76.1
31096,Perlas de perfume downy lush 141 g,perlas_perfume_downy_lush_sin_marca,limpieza_141_g,Limpieza,76.1
26050,Perlas de Perfume Downy Fresh 156 g,perlas_perfume_downy_fresh_sin_marca,limpieza_156_g,Limpieza,77.0
26054,Perlas de Perfume Downy April Fresh 156 g,perlas_perfume_downy_april_fresh_sin,limpieza_156_g,Limpieza,77.0
26069,Intensificador de Olor Downy April 162 g,intensificador_olor_downy_april_sin_marca,limpieza_162_g,Limpieza,73.0
26074,Intensificador de Olor Downy Beads Febreeze 162 g,intensificador_olor_downy_beads_febreeze_sin,limpieza_162_g,Limpieza,73.0
25653,"Abrillantador Piso Loseta, Mármol, Azulejos Alex 2 L",abrillantador_piso_loseta__marmol__azulejos_alex,limpieza_2000_ml,Limpieza,68.0
25669,Abrillantador Piso Flotante Alex Laminados 2 L,abrillantador_piso_flotante_alex_laminados_sin,limpieza_2000_ml,Limpieza,68.0
26083,Blanqueador Ropa Dr. Beckmann 240 g,blanqueador_ropa_dr__beckmann_sin_marca,limpieza_240_g,Limpieza,73.0
31038,Blanqueador dr. beckmann súper blanco 240 g,blanqueador_dr__beckmann_super_blanco_sin,limpieza_240_g,Limpieza,73.0
25732,Toallitas Desmaquillantes Neutrogena Night Calming 25 un.,toallitas_desmaquillantes_neutrogena_night_calming_un_,limpieza_25_un,Limpieza,68.0
25737,Toallitas Desmaquillantes Neutrogena Piel Sensible 25 un.,toallitas_desmaquillantes_neutrogena_piel_sensible_un_,limpieza_25_un,Limpieza,68.0
