producto_id,producto_nombre,categoria_anterior,subcategoria_anterior,categoria_nueva,subcategoria_nueva,producto_base,motivo,timestamp
389,Fideo Pasta Al Huevo Nidos De Fetuccini Bolsa 400 g Talliani,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_al_huevo_nidos_fetuccini,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3478,Fideo Pasta Espirales Bolsa 400 g Lider,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_espirales_bolsa_lider_general,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3489,Pasta Fideos Instantáneos Sabor Pollo 69 g Nissin,Limpieza,Blanqueadores,Despensa,Fideos,pasta_fideos_instantaneos_sabor_pollo_nissin,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3492,Pasta Fideos Instantáneos Ramen Sabor Pollo Bolsa 85 g Nissin,Limpieza,Blanqueadores,Despensa,Fideos,pasta_fideos_instantaneos_ramen_sabor_pollo,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3504,Fideo Pasta Caracoquesos 4 Quesos Caja 296 g Carozzi,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_caracoquesos_4_quesos_caja,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3505,Fideo Pasta Espiral N°49 1 kg Carozzi,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_espiral_n_49_carozzi,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3509,Fideo Pasta Spaghettini N°3 Bolsa 500 g Barilla,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_spaghettini_n_3_bolsa,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3510,Fideo Pasta Spaghetti N°5 Bolsa 500 g Barilla,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_spaghetti_n_5_bolsa,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3511,Fideo Pasta Bavette N°13 Caja 500 g Barilla,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_bavette_n_13_caja,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3512,Fideo Pasta Fusilli N°98 Caja 500 g Barilla,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_fusilli_n_98_caja,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3513,Fideo Pasta Spaghetti N°7 Bolsa 500 g Barilla,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_spaghetti_n_7_bolsa,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3515,Fideo Pasta Penne Rigate N°73 Caja 500 g Barilla,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_penne_rigate_n_73,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3517,Fideo Pasta Macaroni & Cheese Caja 296 g Lucchetti,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_macaroni_cheese_caja_lucchetti,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3528,Fideo Pasta Macaroni & Cheese Original Caja 225 g Great Value,Limpieza,Blanqueadores,Despensa,Fideos,fideo_pasta_macaroni_cheese_original_caja,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
3786,Pasta Para Uno Caracoquesos Cup 70 g Carozzi,Limpieza,Blanqueadores,Despensa,Fideos,pasta_para_uno_caracoquesos_cup_carozzi,"Producto alimenticio tipo fideo/pasta; corresponde a Despensa, idealmente subcategoria Fideos.",2026-06-01T20:30:03
5624,Shampoo Para Perro Antiparasitario Botella 300 ml Sinpul,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_para_perro_antiparasitario_botella_sinpul,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
5638,Shampoo Para Perro Balsamico Uso Frecuente Botella 390 ml Canish,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_para_perro_balsamico_uso_frecuente,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
5640,Shampoo Para Perro Balsámico Aroma Vainilla Botella 1000 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_para_perro_balsamico_aroma_vainilla,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
5643,Shampoo Para Perro Repelente Pulgas Aroma Eucalipto Botella 1000 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_para_perro_repelente_pulgas_aroma,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
5644,Shampoo Para Perro Espuma Seca Aroma Granada Lata 230 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_para_perro_espuma_seca_aroma,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
5647,Shampoo Para Gato Seco Repelente Pulgas Aroma Eucaliptus Lata 100 g Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alimento Gatos,shampoo_para_gato_seco_repelente_pulgas,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
5649,Shampoo Para Perro Pelaje Claro Con Aloe Vera Aroma Frambuesa Y Papaya Botella 300 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_para_perro_pelaje_claro_con,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
5650,Shampoo Para Perro 2 En 1 Con Balsamo Aroma Vainilla Botella 300 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_para_perro_2_en_1,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
5651,Shampoo Para Perro Hipoalergenico Uso Frecuente Botella 390 ml Canish,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_para_perro_hipoalergenico_uso_frecuente,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
5655,Shampoo Para Perro Seco Aroma Eucaliptus Lata 100 g Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_para_perro_seco_aroma_eucaliptus,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
5656,Shampoo Para Perro Repelente Con Aloe Vera Aroma Eucaliptus Botella 300 ml Buddy Pet,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_para_perro_repelente_con_aloe,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
25599,Leche Limpiadora Petrizzio 200 ml + Loción Tonic 200 ml,Limpieza,Limpiadores,Higiene Personal,Cuidado Facial,leche_limpiadora_petrizzio_locion_tonic_sin,Producto de limpieza facial/cosmetica; no es limpieza del hogar.,2026-06-01T20:30:03
25601,Leche Nivea Facial Limpiador Suave 200 ml,Limpieza,Limpiadores,Higiene Personal,Cuidado Facial,leche_nivea_facial_limpiador_suave_sin,Producto de limpieza facial/cosmetica; no es limpieza del hogar.,2026-06-01T20:30:03
25749,Leche & Tónico Micelar Nivea Rose Care 2en1 - 200 ml,Limpieza,Limpiadores,Higiene Personal,Cuidado Facial,leche_tonico_micelar_nivea_rose_care,Producto de limpieza facial/cosmetica; no es limpieza del hogar.,2026-06-01T20:30:03
25770,Leche Limpieza Facial La Roche Posay Toleriane 200 ml,Limpieza,Limpiadores,Higiene Personal,Cuidado Facial,leche_limpieza_facial_roche_posay_toleriane,Producto de limpieza facial/cosmetica; no es limpieza del hogar.,2026-06-01T20:30:03
25787,Leche Limpiadora Nivea Piel Seca 200 ml,Limpieza,Limpiadores,Higiene Personal,Cuidado Facial,leche_limpiadora_nivea_piel_seca_sin,Producto de limpieza facial/cosmetica; no es limpieza del hogar.,2026-06-01T20:30:03
26362,Shampoo Perro Pet's Fun en Seco 100 g,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_perro_pet_s_fun_en,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26393,Shampoo Perro Pet's Fun Pelaje Blanco 290 cc,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_perro_pet_s_fun_pelaje,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26400,Shampoo Perro Pet's Fun Desenredante 290 cc,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_perro_pet_s_fun_desenredante,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26408,Shampoo Perro Pet's Fun Hipoalergénico 290 cc,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_perro_pet_s_fun_hipoalergenico,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26514,Shampoo Perro Canish en Seco 160 g,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_perro_canish_en_seco_sin,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26516,Shampoo Gato Tidy En Seco Perfumado 200 g,Higiene Personal,Shampoo,Mascotas,Alimento Gatos,shampoo_gato_tidy_en_seco_perfumado,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26521,Shampoo Gato Traper Espuma En Seco 170 ml,Higiene Personal,Shampoo,Mascotas,Alimento Gatos,shampoo_gato_traper_espuma_en_seco,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26528,Shampoo Perro Tidy En Seco Perfumado 100 g,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_perro_tidy_en_seco_perfumado,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26531,Shampoo Perro Traper Espuma En Seco 170 ml,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_perro_traper_espuma_en_seco,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26535,Shampoo Perro Canish Hipoalergénico 300 ml,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_perro_canish_hipoalergenico_sin_marca,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26536,Shampoo Perro Drag Pharma Antiparasitario 100 ml,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_perro_drag_pharma_antiparasitario_sin,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26537,Shampoo Gato Traper Neutro 260 cc,Higiene Personal,Shampoo,Mascotas,Alimento Gatos,shampoo_gato_traper_neutro_sin_marca,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26559,Shampoo Perro Adulto Traper Neutro Hipóalergénico 260 cc,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_perro_adulto_traper_neutro_hipoalergenico,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
26562,Shampoo y Acondicionador Perro Canish 300 ml,Higiene Personal,Shampoo,Mascotas,Alimento Perros,shampoo_acondicionador_perro_canish_sin_marca,"Producto de higiene para perro/gato; corresponde a Mascotas, no Higiene Personal humana.",2026-06-01T20:30:03
