producto,producto_a_id,producto_b_id,categoria,subcategoria,supermercado,producto_base,score,motivo_estimado
Fideo Pasta Spaghetti N°5 Bolsa 1 Kg Carozzi | Fideo Pasta Proteína Spaghetti N°5 Bolsa 400 g Lucchetti,3550,3554,Despensa,Salsas,Líder / Líder,fideo_pasta_spaghetti_n_5_bolsa,49,formato distinto; marca distinta; peso distinto; score bajo
Fideo Pasta Spaghetti N°5 Bolsa 1 Kg Carozzi | Fideo Pasta Spaghetti N°5 Bolsa 400 g Lider,3550,3552,Despensa,Salsas,Líder / Líder,fideo_pasta_spaghetti_n_5_bolsa,52,formato distinto; marca distinta; peso distinto; score bajo
Fideo Pasta Spaghetti N°5 Bolsa 1 Kg Carozzi | Fideo Pasta Spaghetti N°5 Bolsa 400 g Lucchetti,3550,3558,Despensa,Salsas,Líder / Líder,fideo_pasta_spaghetti_n_5_bolsa,52,formato distinto; marca distinta; peso distinto; score bajo
Desodorante Ambiental Air Wick Eléctrico Repuesto Lirios de Luna y Seda 21 ml 3 un. | Desodorante Ambiental Air Wick Eléctrico Repuesto Flores Desierto Atacama 20 ml 2 un.,27978,28056,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_ambiental_air_wick_electrico_repuesto,52,cantidad distinta; formato distinto; score bajo; volumen distinto
Desodorante Ambiental Air Wick Eléctrico Repuesto Country Berry 21 ml 3 un. | Desodorante Ambiental Air Wick Eléctrico Repuesto Flores Desierto Atacama 20 ml 2 un.,27995,28056,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_ambiental_air_wick_electrico_repuesto,53,cantidad distinta; formato distinto; score bajo; volumen distinto
Desodorante Ambiental Air Wick Eléctrico Repuesto Flores Desierto Atacama 20 ml 2 un. | Desodorante Ambiental Air Wick Eléctrico Repuesto Manzana & Canela 21 ml 3 un.,28056,28058,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_ambiental_air_wick_electrico_repuesto,53,cantidad distinta; formato distinto; score bajo; volumen distinto
Snack Perro Pet's Fun Fémur de Vacuno 1.75 kg | Snack Perro Pet's Fun Fémur de Cerdo 2 un.,11163,19991,Carnes y Pescados,Carnes,Jumbo / Jumbo,snack_perro_pet_s_fun_femur,54,categoria distinta; formato distinto; score bajo
Desodorante Ambiental Air Wick Eléctrico Repuesto Vainilla 21 ml 3 un. | Desodorante Ambiental Air Wick Eléctrico Repuesto Flores Desierto Atacama 20 ml 2 un.,27992,28056,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_ambiental_air_wick_electrico_repuesto,54,cantidad distinta; formato distinto; score bajo; volumen distinto
Desodorante Spray Dove Men Invisible Dry y Cuidado Total 89 g 2 un. | Desodorante Spray Dove Men Invisible Dry 150 ml,27754,27915,Higiene Personal,Desodorantes,Jumbo / Jumbo,desodorante_spray_dove_men_invisible_dry,54,formato distinto; score bajo
Yoghurt Protein Con Trozos Sabor Mango Maracuyá Pote 140 g Loncoleche | Yoghurt Protein Con Trozos Sabor Mango Maracuyá Pote 155 gr Soprole,681,879,"Lacteos, Huevos y Congelados",Huevos,Líder / Líder,yoghurt_protein_con_trozos_sabor_mango,54,marca distinta; peso distinto; score bajo
