producto_id,producto,categoria,subcategoria,supermercado,producto_base,clasificacion
4425,Agua Botella Purificada Con Gas 500 ml Benedictino,Bebe,Alimentos Bebe,Líder,agua_botella_purificada_con_gas_benedictino,posible error de matching
4424,Agua Botella Purificada Sin Gas 500 ml Benedictino,Bebe,Alimentos Bebe,Líder,agua_botella_purificada_gas_benedictino_sin,posible error de matching
4453,Agua Botella Saborizada Manzana 2 L Benedictino,Bebe,Alimentos Bebe,Líder,agua_botella_saborizada_manzana_benedictino_sin,posible error de matching
4675,"Agua Mineral Con Gas Botella 1,6 L Vital",Bebe,Alimentos Bebe,Líder,agua_mineral_con_gas_botella_vital,posible error de matching
4676,"Agua Mineral Sin Gas Botella 1,6 L Vital",Bebe,Alimentos Bebe,Líder,agua_mineral_gas_botella_vital_sin,posible error de matching
4401,Agua Saborizada Manzana Botella 500 ml Benedictino,Bebe,Alimentos Bebe,Líder,agua_saborizada_manzana_botella_benedictino_sin,posible error de matching
4497,Bebida Botella Sabor Original 591 ml Coca-Cola,Bebe,Alimentos Bebe,Líder,bebida_botella_sabor_original_coca_cola,posible error de matching
4492,Bebida Botella Sabor Original Limón 591 ml Sprite,Bebe,Alimentos Bebe,Líder,bebida_botella_sabor_original_limon_sprite,posible error de matching
3453,Bebida Botella Sin Azúcar 591 ml Coca-Cola,Bebe,Alimentos Bebe,Líder,bebida_botella_sin_azucar_coca_cola,posible error de matching
3355,Bebida Frambuesa Sin Azúcar Añadida Botella 500 Kombuchacha,Bebe,Alimentos Bebe,Líder,bebida_frambuesa_azucar_anadida_botella_500,posible error de matching
3419,Bebida Frambuesa Sin Azúcar Añadida Lata 355 Kombuchacha,Bebe,Alimentos Bebe,Líder,bebida_frambuesa_azucar_anadida_lata_355,posible error de matching
4348,Bebida Frutal Pack Lata 6 Un Bilz,Bebe,Alimentos Bebe,Líder,bebida_frutal_pack_lata_bilz_sin,posible error de matching
4352,Bebida Ginger Ale Pack Lata 6 Un Canada Dry,Bebe,Alimentos Bebe,Líder,bebida_ginger_ale_pack_lata_canada,posible error de matching
4672,Bebida Light Botella 2 L Coca-Cola,Bebe,Alimentos Bebe,Líder,bebida_botella_coca_cola_light_2l,posible error de matching
4383,Bebida Light Pack Lata 6 Un Coca-Cola,Bebe,Alimentos Bebe,Líder,bebida_pack_lata_coca_cola_light,posible error de matching
4346,Bebida Limón Pack Lata 6 Un Sprite,Bebe,Alimentos Bebe,Líder,bebida_limon_pack_lata_sprite_sin,posible error de matching
