producto_id,nombre,categoria_actual,subcategoria_actual,categoria_sugerida,subcategoria_sugerida,confianza,motivo,accion_recomendada
56,Bebida Leche Láctea Yogu Yogu Chirimoya Caja,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
132,Bebida Leche Láctea Yogu Yogu Mora Caja,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
148,Bebida Leche Láctea Yogu Yogu Damasco Caja,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
149,Bebida Leche Láctea Yogu Yogu Frutilla Caja,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
150,Bebida Leche Láctea Yogu Yogu Piña Caja,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
151,Bebida Leche Láctea Trencito Chocolate Caja,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
199,Bebida Vegetal Notmilk Protein Con 7gr Proteína 750 ml NotCo,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
213,Bebida Láctea Sin Lactosa Chocolate 200 ml Milo,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
217,Bebida Vegetal Notmilk Chocolate Tetra Pak 200 ml NotCo,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
218,Bebida Vegetal Notmilk Original 1 L NotCo,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
220,Bebida Láctea Sabor Frutilla 200 ml Surlat,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
221,Bebida Láctea Sabor Chocolate 200 ml Surlat,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
222,Bebida Láctea Sabor Vainilla 200 ml Surlat,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
225,Bebida Vegetal Notmilk Zero 1 L NotCo,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
226,Bebida Vegetal Notmilk Low Fat 1 L NotCo,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
228,Bebida Vegetal Original 1 L Nature's Heart,Bebe,Alimentos Bebe,Bebidas,Bebidas,Alta,Bebida detectada dentro de categoria Bebe,mover_categoria
246,Chocolate Lenguas De Gato Leche 120 g Costa,"Lacteos, Huevos y Congelados",Leche,Mascotas,Alimento Gatos,Alta,Producto de mascotas fuera de Mascotas,mover_categoria
286,Galletas Cachorro Raza Grande Sabor Leche Bolsa 500 g Master Dog,Desayuno y Snacks,Snacks,Mascotas,Alimento Perros,Alta,Producto de mascotas fuera de Mascotas,mover_categoria
300,Alimento Seco Cachorro Raza Pequeña Carne Y Leche Bolsa 3 Kg Master Dog,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,Alta,Producto de mascotas fuera de Mascotas,mover_categoria
306,Alimento Seco Cachorro Raza Mediana/grande Sabor Carne Y Leche Bolsa 3 Kg Master Dog,Carnes y Pescados,Carnes,Mascotas,Alimento Perros,Alta,Producto de mascotas fuera de Mascotas,mover_categoria
310,Galleta Perro Cachoro Leche g g Pet Food,Desayuno y Snacks,Snacks,Mascotas,Alimento Perros,Alta,Producto de mascotas fuera de Mascotas,mover_categoria
