producto_id,producto_nombre,supermercado,categoria_bd,subcategoria_bd,categoria_sugerida,subcategoria_sugerida,archivo_fuente,categoria_fuente,subcategoria_fuente,script_origen,punto_falla,causa_probable,confianza,recomendacion
199,Bebida Vegetal Notmilk Protein Con 7gr Proteína 750 ml NotCo,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8094,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
56,Bebida Leche Láctea Yogu Yogu Chirimoya Caja,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8071,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
213,Bebida Láctea Sin Lactosa Chocolate 200 ml Milo,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8085,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
3365,Bebida Sin Azúcar Pack Lata 6 Un Coca-Cola,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:7850,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
286,Galletas Cachorro Raza Grande Sabor Leche Bolsa 500 g Master Dog,Líder,Desayuno y Snacks,Snacks,Mascotas,Alimento Perros,data\lider_real.csv:6097,Desayuno y Snacks,Snacks,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
310,Galleta Perro Cachoro Leche g g Pet Food,Líder,Desayuno y Snacks,Snacks,Mascotas,Alimento Perros,data\lider_real.csv:6068,Desayuno y Snacks,Snacks,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
339,Tónico Rose Care Leche & Tonico Micelar 2 En 1 200 ml Nivea,Líder,"Lacteos, Huevos y Congelados",Leche,Higiene Personal,Cuidado Facial,data\lider_real.csv:342,"Lacteos, Huevos y Congelados",Leche,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
1127,Acondicionador Ballerina Micelar Botella - Bajo Poo,Líder,"Lacteos, Huevos y Congelados",Quesos,Higiene Personal,Acondicionador,data\lider_real.csv:1312,"Lacteos, Huevos y Congelados",Quesos,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
509,Desodorante Spray Nivea Black&white Original Masculino Xl Hombre,Líder,"Lacteos, Huevos y Congelados",Huevos,Higiene Personal,Desodorantes,data\lider_real.csv:562,"Lacteos, Huevos y Congelados",Huevos,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
132,Bebida Leche Láctea Yogu Yogu Mora Caja,Líder,Bebe,Alimentos Bebe,Bebidas,Bebidas,data\lider_real.csv:8075,Bebe,Alimentos Bebe,app/scraper_lider.py,El CSV fuente ya contiene la categoria incorrecta; el scraper asigno la categoria configurada al resultado.,scraper_categoria_por_busqueda_amplia,Alta,Validar cada resultado contra reglas de categoria antes de escribir CSV; limitar busquedas ambiguas.
