cantidad_productos,clasificacion,formatos,marcas,motivos,muestra_nombres,producto_base,productos_ids
14,error de producto_base; formato distinto; nombre demasiado generico; posible falso positivo; volumen distinto,0.355l;0.35l;0.47l,sin marca,formatos incompatibles; grupo demasiado grande,Pack 6 un. Cerveza Royal Guard Premium Lager 5.0° 470 cc | Pack 6 un. Cerveza Royal Guard Golden Lager 4.5° 355 cc | Pack 6 un. Cerveza Royal Guard Premium Lager Sin Alcohol 355 cc | Pack 6 un. Cerveza Royal Guard Premium Lager 5.0° 355 cc | Pack 6 un. Cerveza Royal Guard Hazy Lager 355 cc,pack_6_un__cerveza_royal_guard,22212;22221;22263;22308;22346;22363;22428;22489;22562;22721;22731;22758;22794;22805
13,error de producto_base; formato distinto; nombre demasiado generico; posible falso positivo; volumen distinto,0.31l;0.35l;0.5l;1.5l;1.75l;2l;3l,sin marca,formatos incompatibles; grupo demasiado grande,Bebida Canada Dry Ginger Ale 3 L | Bebida Canada Dry Ginger Ale 1.75 L | Bebida Canada Dry Ginger Ale Zero 1.5 L | Bebida Canada Dry Ginger Ale Light 1.5 L | Bebida Canada Dry Ginger Ale 1.5 L,bebida_canada_dry_ginger_ale_sin,20677;20709;20725;20768;20796;20812;21067;21068;21070;21071;21078;21140;21281
12,error de producto_base; formato distinto; nombre demasiado generico; peso distinto; posible falso positivo,0.038kg;0.042kg;0.11kg;0.15kg;0.17kg;0.18kg;0.1kg;0.23kg;0.38kg;0.3kg;0.4kg,sin marca,formatos incompatibles; grupo demasiado grande,Papas Fritas Lay's Corte Americano Crema y Cebolla 170 g | Papas Fritas Lay's Corte Americano 300 g | Papas Fritas Lay's Corte Americano 380 g | Papas Fritas Lay's Corte Americano 180 g | Papas Fritas Lay's Corte Americano Merken 180 g,papas_fritas_lay_s_corte_americano,8867;17403;17474;18018;18171;18183;18192;18193;18197;19390;19846;19857
10,error de producto_base; formato distinto; posible falso positivo; volumen distinto,0.187l;0.375l;0.75l,sin marca,formatos incompatibles,Vino Santa Rita Medalla Real Reserva Carmenere 750 cc | Vino Santa Rita Medalla Real Reserva Cabernet Sauvignon 750 cc | Vino Santa Rita Medalla Real Reserva Malbec 750 cc | Vino Santa Rita Medalla Real Reserva Cabernet Sauvignon 187 cc | Vino Santa Rita Medalla Real Reserva Cabernet Sauvignon 375 cc,vino_santa_rita_medalla_real_reserva,23133;23188;23197;23215;23565;23768;23827;23923;24143;24185
9,error de producto_base; formato distinto; peso distinto; posible falso positivo,1kg;3kg;8kg,sin marca,formatos incompatibles,Alimento Seco Gato Adulto Sabor Carne Bolsa 3 Kg Whiskas | Alimento Seco Gato Adulto Sabor Carne Bolsa 1 Kg Whiskas | Alimento Seco Gato Adulto Sabor Carne Bolsa 3 Kg Master Cat | Alimento Seco Gato Adulto Sabor Carne Bolsa 3 Kg Champion Cat | Alimento Seco Gato Adulto Sabor Carne Bolsa Delimix 1 Kg Cat Chow,alimento_seco_gato_adulto_sabor_carne,1887;1892;1906;1907;1916;1920;1952;1954;1961
9,error de producto_base; formato distinto; peso distinto; posible falso positivo,12kg;15kg;3kg,sin marca,formatos incompatibles,Alimento Seco Perro Adulto Raza Mediana/grande Carne Y Cereales Bolsa 3 Kg Cannes | Alimento Seco Perro Adulto Raza Mediana/grande Sabor Carne Bolsa 3 Kg Master Dog | Alimento Seco Perro Adulto Raza Mediana/grande Carne Y Pollo Bolsa 12 kg Dog Chow | Alimento Seco Perro Adulto Raza Mediana/grande Carne Y Cereales Bolsa 3 Kg Champion Dog | Alimento Seco Perro Adulto Raza Mediana/grande Carne Y Cereales Bolsa 15 Kg Cannes,alimento_seco_perro_adulto_raza_mediana,1914;1925;1928;1960;1964;1971;1977;1978;1986
9,error de producto_base; formato distinto; peso distinto; posible falso positivo,1kg;3kg;8kg,sin marca,formatos incompatibles,Alimento Seco Gato Adulto Sabor Pescado Arroz Y Espinaca Bolsa 1 Kg Gati | Alimento Seco Gato Adulto Sabor Pescado Bolsa 3 Kg Champion Cat | Alimento Seco Gato Adulto Sabor Pescado Bolsa 1 Kg Whiskas | Alimento Seco Gato Adulto Sabor Pescado Bolsa 8 Kg Whiskas | Alimento Seco Gato Adulto Sabor Pescado Bolsa 3 Kg Cat Chow,alimento_seco_gato_adulto_sabor_pescado,2142;2143;2144;2145;2147;2148;2149;2152;2153
9,error de producto_base; formato distinto; posible falso positivo,0.053l;0.075l;0.102kg;0.107kg;2un;3un,sin marca,formatos incompatibles,Pasta Dental Oral-b 3d White Perfection | Pasta Dental Oral-b 3d White Perfection Caja | Pasta Dental Oral-b 3d White Anticaries Con Flúor | Pasta Dental Oral-B 3D White Brilliant Fresh 53 ml | Pasta Dental Oral-B 3D White Perfection 2 un.,pasta_dental_oral_b_3d_white,5780;5785;5791;28349;28371;28391;28416;28434;28541
9,error de producto_base; formato distinto; posible falso positivo,0.025l;0.05l,sin marca,formatos incompatibles,Crema Facial Día L’Oréal Revitalift FPS 30 - 50 ml | Crema Facial Día L’Oréal Revitalift Ácido Hialurónico 50 ml | Crema Facial Día L’Oréal Revitalift Láser Triple Acción Antiedad FPS 25 50 ml | Crema Facial Día L’Oréal Revitalift Retinol FPS 17 - 50 ml | Crema Facial Día L’Oréal Revitalift Filler 50 ml,crema_facial_dia_l_oreal_revitalift,8149;8346;8368;8374;10251;10257;10258;10259;10260
9,error de producto_base; formato distinto; peso distinto; posible falso positivo,0.04kg;0.054kg;0.14kg;0.15kg;0.172kg;0.1kg;0.285kg;0.2kg;0.38kg,sin marca,formatos incompatibles,Snack Doritos Sabor Queso 285 g | Snack Doritos Sabor Queso 100 g | Snack Doritos Sabor Queso 380 g | Snack Doritos Sabor Queso 200 g | Snack Doritos Sabor Queso 54 g,snack_doritos_sabor_queso_sin_marca,17480;17486;17490;17512;17580;17661;17692;19829;19858
