cantidad_productos,formatos,marcas,motivos,muestra_nombres,producto_base,productos_ids
2,0.2l;1l,surlat,formatos incompatibles,Leche Descremada Sin Lactosa Caja 200 ml Surlat | Leche Descremada Sin Lactosa Caja 1 L Surlat,leche_descremada_caja_surlat_sin_lactosa,33;36
2,0.85kg;1.44kg,calo,formatos incompatibles,Leche En Polvo Entera Bolsa 850 g Calo | Leche En Polvo Entera Bolsa 1440 g Calo,leche_en_polvo_bolsa_calo_entera,62;143
2,0.35kg;0.8kg,colun,formatos incompatibles,Leche En Polvo Descremada Bolsa 800 g Colun | Leche En Polvo Descremada Bolsa 350 g Colun,leche_en_polvo_bolsa_colun_descremada,82;126
3,0.2l;1l,soprole,formatos incompatibles,Leche Semidescremada Cookies And Cream 200 ml Soprole | Leche Soprole Semidescremada Cookies And Cream 200 ml | Leche Soprole Semidescremada Cookies And Cream 1 L,leche_cookies_and_cream_soprole_semidescremada,85;6073;6353
2,0.9kg;1.44kg,colun,formatos incompatibles,Leche En Polvo Entera Bolsa 1440 g Colun | Leche En Polvo Entera Bolsa 900 g Colun,leche_en_polvo_bolsa_colun_entera,91;125
2,0.2l;1l,colun,formatos incompatibles,Leche Semidescremada Original Sabor Chocolate 200 ml Colun | Leche semidescremada colun original sabor chocolate 1 l,leche_original_sabor_chocolate_colun_semidescremada,98;29353
3,0.18kg;0.4kg,lider,formatos incompatibles,Saborizante Para Leche En Polvo Fortificado Sabor Chocolate 180 g Lider | Saborizante Para Leche En Polvo Fortificado Sabor Frutilla 400 g Lider | Saborizante Para Leche En Polvo Fortificado Sabor Vainilla 180 g Lider,saborizante_para_leche_en_fortificado_sabor,106;107;183
3,0.2l;1l,surlat,formatos incompatibles,Leche Descremada Whey Proteína Chocolate 1 L Surlat | Leche surlat whey proteína descremada chocolate 200 ml | Leche surlat whey proteína descremada chocolate 1 l,leche_whey_proteina_chocolate_surlat_descremada,108;29340;29369
4,0.1kg;0.2kg;0.34kg;0.36kg,sin marca,formatos incompatibles,Chocolate De Leche 340 g Toblerone | Chocolate de Leche Toblerone 200 g | Chocolate de Leche Toblerone 100 g | Chocolate de Leche Toblerone 360 g,chocolate_leche_toblerone_sin_marca_general,123;18780;18839;19097
3,0.2l;1l,surlat,formatos incompatibles,Leche Descremada Whey Protein Chocolate 200 ml Surlat | Leche Descremada Surlat Whey Protein Chocolate 200 ml | Leche Descremada Surlat Whey Protein Chocolate 1 L,leche_whey_protein_chocolate_surlat_descremada,153;6192;6234
2,0.3019kg;0.6038kg,sin marca,formatos incompatibles,"Chocolate Con Leche Mix 301,9 g M&M'S | Chocolate Con Leche Mix 603,8 g M&M'S",chocolate_con_leche_mix_m_s,190;200
6,0.055kg;0.08kg;0.125kg;0.1kg,sin marca,formatos incompatibles,Chocolate De Leche 55 g Milka | Chocolate De Leche 80 g Milka | Chocolate de Leche Milka 55 g | Chocolate de Leche Milka 80 g | Chocolate de Leche Milka 125 g,chocolate_leche_milka_sin_marca_general,195;242;18405;18774;18778;19877
4,0.031kg;0.048kg;0.142kg;6un,sin marca,formatos incompatibles,Chocolate Con Leche 31 g M&M'S | Chocolate Con Leche 48 g M&M'S | Chocolate Con Leche 6 Un M&M'S | Chocolate Con Leche 142 g M&M'S,chocolate_con_leche_m_s_sin,197;265;283;302
3,0.0462kg;0.127kg;0.487kg,sin marca,formatos incompatibles,"Chocolate Con Leche Y Mantequilla De Maní 46,2 g M&M'S | Chocolate Con Leche Y Mantequilla De Maní 487 g M&M'S | Chocolate Con Leche Y Mantequilla De Maní 127 g M&M'S",chocolate_con_leche_mantequilla_mani_m,202;313;317
4,0.024kg;0.08kg;0.15kg,sin marca,formatos incompatibles,Chocolate De Leche 24 g Trencito | Chocolate de Leche Trencito 150 g | Chocolate de Leche Trencito 24 g | Chocolate de Leche Trencito 80 g,chocolate_leche_trencito_sin_marca_general,238;17171;18346;18771
3,0.25kg;0.5kg,sin marca,formatos incompatibles,Caluga Leche 500 g De mi Campo | Caluga Leche 250 g De mi Campo | Caluga de Leche de Mi Campo 250 g,caluga_leche_mi_campo_sin_marca,247;304;18029
2,0.25kg;1kg,lider,formatos incompatibles,Puré De Papas Instantáneo Con Leche 1 Kg Lider | Puré De Papas Instantáneo Con Leche 250 g Lider,pure_papas_instantaneo_con_leche_lider,251;266
3,0.049kg;0.142kg;0.512kg,sin marca,formatos incompatibles,Chocolate Con Leche Y Maní 512 g M&M'S | Chocolate Con Leche Y Maní 142 g M&M'S | Chocolate Con Leche Y Maní 49 g M&M'S,chocolate_con_leche_mani_m_s,255;257;280
