duplicado_con_ids,formato,marca,nombre,producto_base,producto_id,supermercados
1375;10477,1 Kg,Sin marca,Zanahoria Bolsa 1 Kg,zanahoria_bolsa_sin_marca_general_1,1375,
1375;10477,1 kg,Sin marca,Zanahoria Bolsa 1 kg,zanahoria_bolsa_sin_marca_general_1,10477,
1382;10912,1 Kg,Sin marca,Zanahoria Jugo Bolsa 1 Kg,zanahoria_jugo_bolsa_sin_marca_general,1382,
1382;10912,1 kg,Sin marca,Zanahoria Jugo Bolsa 1 kg,zanahoria_jugo_bolsa_sin_marca_general,10912,
1472;10509,1 Kg,Sin marca,Tomate Larga Vida Malla 1 Kg,tomate_larga_vida_malla_sin_marca,1472,
1472;10509,1 kg,Sin marca,Tomate Larga Vida Malla 1 kg,tomate_larga_vida_malla_sin_marca,10509,
1487;10520,1 Kg,Sin marca,Cebolla Malla 1 Kg,cebolla_malla_sin_marca_general_1,1487,
1487;10520,1 kg,Sin marca,Cebolla Malla 1 kg,cebolla_malla_sin_marca_general_1,10520,
1503;10736,1.5 kg,Sin marca,"Papa Ox Malla 1,5 kg",papa_ox_malla_sin_marca_general,1503,
1503;10736,1.5 kg,Sin marca,Papa Ox Malla 1.5 kg,papa_ox_malla_sin_marca_general,10736,
1564;10480,2 Kg,Sin marca,Papa Malla 2 Kg,papa_malla_sin_marca_general_2,1564,
1564;10480,2 kg,Sin marca,Papa Malla 2 kg,papa_malla_sin_marca_general_2,10480,
5424;5425,,Sin marca,Shampoo Elvive Hidra Hialurónico,shampoo_elvive_hidra_hialuronico_sin_marca,5424,
5424;5425,,Sin marca,Shampoo Elvive Hidra Hialuronico,shampoo_elvive_hidra_hialuronico_sin_marca,5425,
5714;27397,700mL,Sin marca,Jabón Líquido Dove Mandarina 700ml,jabon_dove_mandarina_sin_marca_liquido,5714,
5714;27397,700 mL,Sin marca,Jabón Líquido Dove Mandarina 700 ml,jabon_dove_mandarina_sin_marca_liquido,27397,
6118;29420,760 g,Loncoleche,Leche en Polvo Loncoleche Descremada 760 g,leche_en_polvo_loncoleche_descremada_760,6118,
6118;29420,760 g,Loncoleche,Leche en polvo loncoleche descremada 760 g,leche_en_polvo_loncoleche_descremada_760,29420,
6161;29474,1 L,Soprole,Leche Cultivada Soprole Sin Lactosa Chirimoya 1 L,leche_cultivada_chirimoya_soprole_sin_lactosa,6161,
6161;29474,1 L,Soprole,Leche cultivada soprole sin lactosa chirimoya 1 l,leche_cultivada_chirimoya_soprole_sin_lactosa,29474,
6230;29447,1 L,Soprole,Leche Cultivada Soprole Proteína Frutilla 1 L,leche_cultivada_frutilla_soprole_proteina_1l,6230,
6230;29447,1 L,Soprole,Leche cultivada soprole proteína frutilla 1 l,leche_cultivada_frutilla_soprole_proteina_1l,29447,
