sup,nombre,categoria,subcategoria,reason,sugerida,conf
Jumbo,Leche con Chocolate Milo Protein Up 330 ml,"Lacteos, Huevos y Congelados",Leche,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Yogurt + Cereal Nestlé Milo 142 g,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Yogurt + Cereal Nestlé Chocapic+ Milo Multipack 142 g 5 un.,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Pack 6 un. Yogurt Batido Yogu Yogu Mora 115 ml,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Yogurt Yogu Yogu Sabor Mora Botella 900 g,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Yogurt Yogu Yogu Sabor Frutilla Botella 900 g,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Pack 6 un. Yogurt Batido Yogu Yogu Frutilla 115 ml,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Yogurt Batido Yogu Yogu Frutilla 115 ml,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Yogurt Batido Yogu Yogu Mora 115 ml,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Yogurt Yogu Yogu Tetra Damasco 115 g,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Pack 6 un. Yogurt Batido Yogu Yogu Vainilla 115 ml,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Yogurt Batido Yogu Yogu Vainilla 115 ml,"Lacteos, Huevos y Congelados",Yogurt,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida de Coco Lady Coconut Tetra 500 ml,"Lacteos, Huevos y Congelados",Crema,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Naranja Jugo Malla 3 kg,Frutas y Verduras,Frutas,bebida_fuera_de_bebidas,Bebidas > Jugos,Media
Jumbo,Naranjas Jugo Malla de Yute 2.5 kg,Frutas y Verduras,Frutas,bebida_fuera_de_bebidas,Bebidas > Jugos,Media
Jumbo,Zanahorias Jugo 1 kg,Frutas y Verduras,Verduras,bebida_fuera_de_bebidas,Bebidas > Jugos,Media
Jumbo,Zanahoria Jugo Bolsa 1 kg,Frutas y Verduras,Verduras,bebida_fuera_de_bebidas,Bebidas > Jugos,Media
Jumbo,Vino Las Encinas Semillon 750 cc,Carnes y Pescados,Cecinas,bebida_fuera_de_bebidas,Bebidas > Vinos,Media
Jumbo,"Atún Lomitos con Jugo de Limón 91 g drenado, 140 g neto",Carnes y Pescados,Pescados,bebida_fuera_de_bebidas,Bebidas > Jugos,Media
Jumbo,"Atún Lomitos con Jugo de Limón 104 g drenado, 160 g neto",Carnes y Pescados,Pescados,bebida_fuera_de_bebidas,Bebidas > Jugos,Media
Jumbo,Atún Lomo Con Jugo De Limón Robinson Crusoe 120 g drenado,Carnes y Pescados,Pescados,bebida_fuera_de_bebidas,Bebidas > Jugos,Media
Jumbo,Tripack Atún Lomitos con Jugo de Limón 3 un. 52 g Drenado,Carnes y Pescados,Pescados,bebida_fuera_de_bebidas,Bebidas > Jugos,Media
Jumbo,Bebida Vegetal Cuisine & Co Almendras Sabor Chocolate 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Cuisine & Co Almendras Sabor Natural Sin Azúcar 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Cuisine & Co Coco Sin Azúcar 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Cuisine & Co Almendras Sabor Vainilla 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Cuisine & Co Almendras Sabor Natural 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Cuisine & Co Coco Original 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Jugo de Limón Frutos del Maipo 400 g,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Jugos,Media
Jumbo,Bebida Vegetal ViviCosí Soya Sin Gluten 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Loncoleche Almendra 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Almendras Sabor Original Sin Azúcar 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal NotMilk Low Fat 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Natrue Soya 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal OraSì Soya 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal NotMilk Original 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Loncoleche Soya Chocolate 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal NotMilk Chocolate 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Loncoleche Soya Natural 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Berief Soya Natural Sin Azúcar 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal NotMilk Zero Sin Azúcar 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal NotMilk Kids Chocolate 200 ml,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Coco Sin Azúcar Sabor Original 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal NotShake Chocolate Protein 250 ml,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Arroz y Chocolate Fun 200 cc,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Almendras Sabor Chocolate 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal NotMilk Chocolate 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Loncoleche Soya 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Almendrola Almendra Sin Azúcar 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Almendra Original 200 cc,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Almendras Sabor Vainilla 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal ViviCosí Soya Vainilla Sin Gluten 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Arroz Sabor Chocolate 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Natrue Almendra 0% Azúcar 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal NotMilk Protein Complete con 7 g Proteína 750 ml,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal NotShake Café Caramelo 16g Proteína 250 ml,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal ViviCosí Coco Sin Azúcar y Gluten 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Almendras Sabor Original 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Buonocosí Arroz Sin Gluten 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Nature's Heart Almendra Sin Azúcar Añadida 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Coco Sabor Chocolate 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Wilk Chocolate 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Arroz Sabor Original 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Almendra y Vainilla Original 200 ml,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal OraSì Barista Almendra 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal ViviCosi Avellana Cacao Sin Gluten 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Wilk Capuccino Caramel 330 ml,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Coco Sabor Original 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Tucapel Arroz Chocolate 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal OraSì Arroz 1 L,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
Jumbo,Bebida Vegetal Vilay Wilk Capuccino Vainilla 330 ml,Congelados,Congelados,bebida_fuera_de_bebidas,Bebidas > Bebidas,Media
