sup,nombre,categoria,subcategoria,reason,conf
Jumbo,Pack Nivea Crema Corporal Soft Milk 400 ml + Q10 Reafirmante 400 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Nivea Milk Nutritiva Piel Extra Seca 100 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Revitalift FPS 30 - 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack Nivea Hidratantes Piel Seca Crema Día 50 ml + Crema Noche 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Crema Bio Virutex 500 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Crema Corporal Nivea Hidratación Express 1000 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial LaQ Sex & Business 40 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Noche L’Oréal Revitalift Antiarrugas y Firmeza 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Hidra Total 5 Hidratante Antimanchas 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Hidratante Express Aclara FPS 50 - 40 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack Nivea Q10 Power Crema Facial Día 50 ml + Crema Facial Noche 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Teatrical Humectante 200 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Crema Home Care Tradicional 500 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Crema de Manos Nivea Cuidado Intensivo 100 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Neutrogena Face Care Intensive Antiedad FPS 22 - 100 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Nivea Soft Milk Piel Seca 100 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Crema The Pink Stuff Multiuso 500 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Crema de Tratamiento Dove Nutrición + Tri-Oleos 300 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Crema Home Care Limón 500 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Crema Facial de Día Nivea Antiarrugas Revitalizante 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Teatrical Aclaradora 200 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Eucerin Hyaluron-Filler + Elasticity Día Antiedad Rosé FPS 30 con Thiamidol 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema de Tratamiento Dove Hidratación + Ácido Hialurónico y Vitamina 300 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Shampoo Elvive Colágeno 680 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal UV Defender Invisible FPS 50 + 40 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack Nivea Luminous630 Facial Skinglow Serum 30 ml + 15 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Sérum Facial Nivea Luminous 630 Glow Instantáneo 30 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Eucerin Anti-Arrugas Día Hyaluron-Filler Piel Seca 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Noche L’Oréal Jalea Real 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Eucerin Fluída Ultrasensitive 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Fluido Facial Anti-Manchas Nivea Luminous 630 40 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Hidra Total 5 Hidratante Matificante 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Anti-Arrugas Noche Hyaluron-Filler 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Crema Cif Original 500 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Crema Facial Día L’Oréal Hidra Total 5 Antiarrugas +55 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Hidra Total 5 Hidratante 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Revitalift Ácido Hialurónico 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Eucerin Anti-Arrugas Noche Elasticity + Filler 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Hidratante Express Aclara Tes Media FPS 50 - 40 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Hidra Total 5 Antiarrugas +35 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Anti-Arrugas Día Hyaluron-Filler Piel Normal 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Glycolic Bright Antimanchas FPS 30 - 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Noche L’Oréal Glycolic Bright 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Noche L’Oréal Revitalift Ácido Hialurónico 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Revitalift Láser Triple Acción Antiedad FPS 25 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Noche L’Oréal Revitalift Láser Triple Acción Antiedad 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Revitalift Retinol FPS 17 - 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Crema Cif Limón 500 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
Jumbo,Crema Corporal Nivea Regeneración Intensiva 1000 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Corporal Nivea Regeneración 400 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Hydra Mag C 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Eucerin Hidratante Aquaporin Piel Normal 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Eucerin Anti-Enrojecimiento Día 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Sérum Facial Nivea Q10 Doble Acción 30 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Multipropósito Nivea Men Creme 150 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Eucerin Antipigmento Noche 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Eucerin Día Anti-Pigment FPS30 de 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Eucerin Anti-Arrugas Día Elasticity + Filler 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Sérum Facial Nivea Nivea Cellular Expert Lift 30 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal Age Perfect Renacimiento Celular 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Alimento Húmedo Gato Molly & Co Crema Atún 90 g,"Lacteos, Huevos y Congelados",Crema,mascota_fuera_de_mascotas,Alta
Jumbo,Alimento Húmedo Gato Molly & Co Crema Atún Salmón 90 g,"Lacteos, Huevos y Congelados",Crema,mascota_fuera_de_mascotas,Alta
Jumbo,Alimento Húmedo Gato Molly & Co Crema Salmón 90 g,"Lacteos, Huevos y Congelados",Crema,mascota_fuera_de_mascotas,Alta
Jumbo,Shampoo Colorante Just For Men Castaño 31 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Multipropósito Nivea Men Creme 75 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Dove All Body Raspberry 75 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Set de Repuesto Eucerin Crema Facial Hyalluron Filler,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Natura Siberica Vitamina C 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial LaQ Hoppy Goat 40 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Limpiador Crema Cif Original 450 ml,"Lacteos, Huevos y Congelados",Crema,limpieza_fuera_de_limpieza,Alta
